Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Zapadna Srbija sa Šumadijom,Muško,Visoka  škola ili fakultet,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 120 minuta dnevno gledajući televiziju i 30 minuta na informativnim internet portalima. Ima poverenje u nacionalne TV stanice, dok ne veruje u kablovske i specijalizovane informativne kanale. Najčešće prati aktuelne informativne emisije i putopise, dok je zainteresovan za informativne, naučno-obrazovne, kulturne i verske programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji u medijima uopšte nepostojeći."
Vojvodina,Žensko,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju, striming aplikacije niti prati sportski program. Dnevno provodi 60 minuta uz televiziju, 60 minuta uz radio, 180 minuta na informativnim internet portalima i 120 minuta na društvenim mrežama, posebno Instagramu i Facebooku. Ima poverenje u RTS, ali ne u druge TV stanice i medije. Zainteresovan je za informativne, dokumentarne, kulturne i dečije programe, dok rijaliti i sportski program ne prate. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće koristi internet. Dnevno provodi 60 minuta uz televiziju, 30 minuta uz radio, 60 minuta na informativnim internet portalima, 20 minuta na društvenim mrežama i 200 minuta na striming servisima. Ima veoma malo poverenja u sve medije, osim u N1, koji prati zbog objektivnosti i sadržaja koji mu odgovara. Zainteresovan je za informativne, dokumentarne, naučno-obrazovne, kulturno-umetničke i sportske programe, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik ne koristi zemaljsku i kablovsku televiziju, internet usluge, niti striming aplikacije. Dnevno provodi 120 minuta gledajući televiziju, pretežno Prvu TV, kojoj ima poverenja. Ne prati radio, društvene mreže ili informativne portale. Zainteresovan je za zabavni, verski, filmski i muzički program, dok rijaliti i dečiji program ne prati. Medijske sadržaje pronalazi isključivo preko Prve TV i svakodnevno se informiše putem nacionalnih televizija. Ne zna koliko su štetni sadržaji zastupljeni u medijima, a razlozi za izbor medija uključuju dostupnost sadržaja koji mu odgovara."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije i informativne internet portale. Dnevno provodi 180 minuta uz televiziju, 60 minuta na društvenim mrežama, a poverenje ima u nacionalne i regionalne TV stanice, kao i u radio stanice. Najčešće prati program na TV stanici Pink, a veruje u taj medij. Zainteresovan je za zabavni i rijaliti program, dok ne prati dokumentarne, kulturne, dečije i sportske programe. Medijske sadržaje pronalazi isključivo preko Pinka, a smatra da u medijima nema štetnih sadržaja."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovsku televiziju i društvene mreže, posebno Facebook, provodeći 120 minuta dnevno uz televiziju i 180 minuta na društvenim mrežama. Ispitanik nema poverenja u medije, uključujući TV stanice i internet portale, a smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji. Kombinuje više medija za pronalaženje sadržaja, a preferira zabavni program. Nepristrasnost i pravovremenost informacija nisu mu važni, dok je zabrinut zbog dezinformacija."
Vojvodina,Muško,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, dok internet usluge i društvene mreže (posebno TikTok i Instagram) takođe igraju značajnu ulogu u njegovim medijskim navikama. Dnevno provodi 60 minuta gledajući televiziju, 45 minuta na društvenim mrežama i 20 minuta slušajući radio. Iako ne koristi striming servise, kombinuje više medija kako bi pronašao sadržaje koji ga zanimaju. Poverenje u medije je osrednje, a najviše veruje TikToku. Ispitanik je osrednje zainteresovan za razne medijske teme, a smatra da su štetni sadržaji najzastupljeniji na televiziji."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet usluge, provodeći 60 minuta dnevno uz televiziju, 120 minuta uz radio, 60 minuta uz informativne portale, 60 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima nisko poverenje u sve vrste medija, a najčešće prati Instagram. Razlozi za izbor medija uključuju pravovremene informacije i sadržaj koji odgovara njegovim potrebama. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji i internet portalima."
Beograd,Žensko,Magistratura/doktorat,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz internet i striming aplikacije. Dnevno provodi 120 minuta gledajući televiziju, 60 minuta na radiju, 60 minuta na informativnim portalima i društvenim mrežama, te 30 minuta na striming servisima. Ima nisko poverenje u većinu medija, posebno u TV stanice i društvene mreže, dok ima puno poverenje u N1. Zainteresovan je za informativne, dokumentarne, naučno-obrazovne i kulturne sadržaje, dok rijaliti i zabavni programi nisu od interesa. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 320 minuta uz televiziju, 20 minuta uz radio i društvene mreže. Ima puno poverenje u nacionalne TV stanice, dok ne veruje u internet portale i specijalizovane informativne kanale. Najčešće prati informativno-zabavni program i dokumentarne filmove, a medij koji najčešće prati je Pink. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno TikToku."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 80 minuta dnevno gledajući televiziju i 60 minuta slušajući radio. Internet usluge su prisutne, ali striming aplikacije se ne koriste. Poverenje u medije je nisko, posebno prema nacionalnim i lokalnim TV stanicama, dok se povremeno oslanja na specijalizovane informativne kanale i društvene mreže. Ispitanik kombinuje više medija za pronalaženje sadržaja, a najčešće prati vesti i dokumentarne filmove. Zainteresovan je za kulturno-umetnički i dečiji program, ali smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Vojvodina,Žensko,Magistratura/doktorat,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće provodi 150 minuta dnevno na društvenim mrežama, a najviše prati Instagram. Ima poverenje u društvene mreže, posebno u Instagram i TikTok, dok nema poverenje u tradicionalne medije. Zainteresovan je za kulturno-umetnički i muzički program, a najčešće prati informativno-zabavne emisije i putopise. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Kurir."
Zapadna Srbija sa Šumadijom,Drugo,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",ne želi da odgovori,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, dok ne koristi zemaljsku televiziju, internet usluge, striming aplikacije ili bilo kakve druge medijske usluge. Najčešće provodi 15 minuta dnevno na informativnim internet portalima i 60 minuta na društvenim mrežama, posebno YouTube-u, kojem ima poverenja. Ne veruje u tradicionalne medije, ali ima poverenje u internet portale i društvene mreže poput Facebook-a, Twitter-a i TikTok-a. Ispitanik ne prati razne vrste programa, a medijske sadržaje pronalazi isključivo preko YouTube-a. Zainteresovan je za informativne teme, ali ne veruje u pravovremene informacije i ne smatra da su mediji objektivni."
Beograd,Muško,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi internet usluge i striming aplikacije, dok ne koristi zemaljsku i kablovsku televiziju. Najčešće provodi 90 minuta dnevno na informativnim internet portalima, društvenim mrežama i striming servisima, sa posebnim naglaskom na TikTok. Ispitanik nema poverenja u tradicionalne medije, kao i u društvene mreže, a najčešće prati vesti i dokumentarne filmove. Kombinuje više medija za pronalaženje sadržaja, a najčešće se oslanja na internet portale. Zainteresovan je za filmski, serijski i sportski program, dok rijaliti i dečiji program ne prati."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 150 minuta dnevno gledajući televiziju, dok internet i društvene mreže koriste 30 minuta. Ne koristi striming servise i nema poverenja u većinu medija, uključujući televizijske stanice i internet portale. Najčešće prati informativne programe i dokumentarne filmove, dok zabavne i kulturne sadržaje ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na TV Happy."
Zapadna Srbija sa Šumadijom,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 250 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne TV stanice, posebno RTS, i svakodnevno prati informativno zabavne programe. Zainteresovan je za informativne, dokumentarne, naučno-obrazovne, verske i filmske sadržaje, dok su mu zabavni programi i sportski prenosi veoma važni. Medijske sadržaje pronalazi isključivo preko RTS-a, a ne smatra da postoje štetni sadržaji u medijima."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovsku televiziju, provodeći 180 minuta dnevno uz televiziju, 30 minuta uz radio i 20 minuta uz informativne portale. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje društvenim mrežama. Prati informativne programe i dokumentarne filmove, a najviše se interesuje za sportski program. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno Facebook-u."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku televiziju i striming aplikacije. Najčešće provodi 300 minuta dnevno uz televiziju i društvene mreže, a 600 minuta uz informativne internet portale. Ima poverenje u društvene mreže, posebno Facebook, koji najčešće prati. Zainteresovan je za dokumentarne, naučno-obrazovne, kulturne i muzičke programe, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,slovačka,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet, provodeći 60 minuta dnevno uz televiziju, 20 minuta na informativnim portalima, 120 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima poverenje u većinu medija, posebno u kablovske i informativne kanale, dok ne prati lokalne TV stanice. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati Instagram. Zainteresovan je za informativno zabavne programe i strana serijska izdanja, dok smatra da su štetni sadržaji u medijima uopšte nisu zastupljeni."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 180 minuta dnevno uz televiziju, 30 minuta uz radio, 40 minuta na informativnim internet portalima i 60 minuta na društvenim mrežama. Ima neutralan stav prema poverenju u medije, osim prema radio stanicama. Zainteresovan je za dokumentarne, naučno-obrazovne i zabavne programe, dok ne prati sportski i dečiji program. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
